"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563"
"CATMA1a62725",7.366727735,7.884903845,7.686589245,7.589885941,7.566144737,7.480252178,7.722113795,7.564886084,7.725009615,7.547807615,7.973960348,8.001969344,8.500328832,8.622519937,8.489837725,9.130994754,8.743030324,8.641235697,9.305754467,9.375290365,9.530911219,9.208073286,9.734324885,9.197335169
"CATMA1a17310",9.458354939,8.907147811,8.665228053,8.677098065,8.660040907,8.537994164,8.821892604,9.111762771,8.91484419,8.995170193,9.639542295,9.960975465,10.95762012,11.15667212,10.88061895,10.34709727,10.9293313,10.69153994,10.99719989,11.2036819,10.84462345,10.85775666,11.04973437,10.71545632
"CATMA1a05220",7.502496154,7.600797117,8.006628179,8.312832642,7.971205197,7.924247,8.07233649,8.143383016,8.287564727,8.523113296,8.948410693,9.015378819,9.992354903,10.40767351,10.47595809,10.27849291,10.22192374,9.804745233,10.1813603,9.627718844,9.342102481,9.792316038,9.469273851,9.253248476
"CATMA1a02710",9.362606881,9.646484932,8.855507659,8.812352032,8.742347925,9.077515471,9.166194662,9.859782224,9.956077417,9.171174919,10.66472372,11.39778425,11.97526585,12.40335985,11.99235741,12.45413799,12.54174739,11.72692974,12.51735157,12.25779929,11.77619586,11.9633624,12.24837949,12.46134286
"CATMA4a05150",10.38415704,10.73090919,10.67446489,10.80700821,10.37680518,10.50535477,10.76260761,11.26763328,10.98748384,10.94954864,11.68704864,11.58024425,12.2125626,12.75833643,12.7495553,13.11300845,12.84145971,12.25326225,13.17120938,12.78545935,12.34250948,12.71224645,12.1262091,12.17801747
"CATMA5a57060",10.43701895,11.17243272,11.38192606,11.62291007,11.40290503,11.45213216,11.61068684,11.66537653,11.11222809,11.47987065,10.25133632,9.979260708,7.272303978,8.04407438,7.928600622,7.927880465,8.442691636,8.709360371,7.734842757,8.605823608,8.132735916,9.094542091,8.775496366,9.680077161
"CATMA2c47176",12.07334812,11.92246886,11.87225107,12.21127767,12.96895881,10.7687904,11.45833978,11.96377497,10.70168169,11.7361617,11.87550401,12.35799142,13.0988024,14.00819568,14.19092098,14.39250658,14.39819734,14.22638408,14.45939518,14.12797702,14.17411634,14.70729714,14.38948292,14.44453404
"CATMA3a19345",14.42818858,14.81765826,14.52687355,14.71640128,14.83096182,14.20389504,14.45823524,15.03135418,15.14639977,14.96552264,14.39340427,14.87780271,12.66414461,12.11267552,11.68770462,11.65924905,11.9303147,12.72513126,12.79954797,12.71073761,12.98377907,13.63040534,13.43822004,14.65879989
"CATMA4a13955",12.48597086,13.08186323,13.70582882,13.35731773,13.77337272,12.90803003,13.84441969,12.45074081,13.73731365,13.78158005,13.10130744,12.67317315,10.75485658,10.56298581,10.25199698,10.70789236,10.38276313,11.34320188,11.26055586,11.28000285,11.55122172,11.51348706,11.68967,12.48872307
"CATMA3a18300",11.5195702,11.68983622,11.59432299,11.49018047,11.61402979,11.56577077,11.47222432,11.34590581,11.61422126,11.44947412,12.08300676,12.17492125,12.78815212,12.98339585,12.50461457,12.81424474,12.50613503,12.27511064,12.75961764,12.50775482,12.67866114,12.35897747,12.64016356,12.72654135
"CATMA4a11410",8.964419997,9.218454261,8.612644848,8.600445219,8.817018514,8.869273429,9.124348237,9.136553956,9.67079531,10.09499172,11.23163806,10.69167203,11.91914824,11.74953647,11.55349453,11.38315833,11.26630547,10.89051654,11.58551826,10.95648453,11.28203412,10.73663396,11.59533344,11.24889686
"CATMA3a05630",6.983703157,7.900774755,7.880902692,7.772839484,7.360147683,7.650334818,7.312511361,7.790984701,7.448706031,7.797484443,8.380479068,8.222294946,9.391096057,9.103962999,9.330830102,8.751312146,9.607822068,9.436033633,8.554344559,8.797385304,9.044934996,8.620223094,9.277565889,8.9434818
"CATMA5a23070",13.63748719,13.54267748,13.36414574,12.95372826,12.81267045,13.45945243,13.75163036,13.12399648,14.51417463,13.77988013,14.86005553,14.90636002,15.44505671,15.46954801,15.32136819,15.51452865,15.21857754,15.13031029,15.32564005,15.28999369,15.22433799,14.80250777,15.0334014,14.97401387
"CATMA5c65122",8.894572441,9.231023765,8.963794492,8.998188198,8.856959187,9.100277388,9.073917248,8.771286556,9.161687983,9.504031858,9.677505952,9.841072379,9.389593933,9.752503074,9.409481973,10.49377985,10.34102683,10.29300403,10.25029189,10.86164379,11.01198769,10.92298956,11.13632914,11.40667866
"CATMA5a60330",7.711297385,8.414076032,8.352631305,8.517638435,7.802509531,8.623015307,8.657561423,8.729898234,8.65219747,8.600754287,9.990892396,9.643517217,11.23252394,11.25204109,10.83695755,10.47308247,9.754150435,9.523479489,10.81030713,9.811474177,10.36446387,10.2784285,10.99392917,10.50241184
"CATMA5a50880",9.976133208,10.27765019,10.20942714,10.33612289,10.04957508,9.996444377,10.17321712,10.68365458,10.53447099,10.49577135,11.34521262,11.20299361,12.23254795,12.48078323,12.16026872,11.59966222,11.73052928,10.94628431,11.23067781,11.36407921,11.06999015,11.18393437,11.10820996,11.17337226
"CATMA4a18523",8.779382385,8.7897927,8.362520273,8.104754481,7.960524052,8.380233892,8.365048133,8.172849101,8.622176961,8.301848591,9.516329574,9.210481882,10.33794726,10.0694429,9.990831071,9.849755298,9.536656671,9.521465646,10.73082369,10.10498965,10.30074389,9.255652277,10.50047207,9.992710625
"CATMA4a34150",10.2769003,9.318537586,9.699840201,9.359434723,9.905471991,9.312207822,9.089693641,8.52874267,8.790086772,8.957604346,8.409958738,8.58939339,7.953631858,8.384178098,7.558874785,8.369726818,8.069275748,8.760704447,8.213835452,8.377662914,8.651978103,8.47940271,7.926442618,8.089842387
"CATMA3c57822",12.23660776,11.54571614,11.67565076,11.62286834,11.43076042,11.47652542,11.24723657,12.01534075,11.98664012,12.00786843,11.64356803,11.44201787,11.81412837,11.37122176,11.70620514,10.57787917,10.56602612,10.60488704,10.04659605,10.03306372,10.19536672,10.36515421,10.2091658,10.10974418
"CATMA1c72152",6.938069739,6.791230542,7.297688072,7.093537118,7.170351463,5.94475596,6.118251842,7.705645156,7.80569184,7.953196293,8.873129941,8.81417844,9.714923878,9.779891176,9.709179823,9.224703429,9.467931967,9.128407668,8.83130936,8.721919664,8.389655329,8.603738325,8.834370897,8.496905104
"CATMA3c57282",10.49059104,10.77490938,11.55259524,11.32769945,11.7328298,10.91732381,11.72408959,11.0109452,12.17359196,12.45237491,11.67984531,11.07925042,9.891843148,9.474612216,9.107104621,9.443150937,9.290627603,10.23638932,10.06451263,10.13251499,10.45889308,10.20953,10.71618575,11.21716985
"CATMA4a33440",10.92043862,10.08740193,10.02822015,9.856348836,10.26822914,9.764588842,9.805234949,10.11914966,10.0349088,9.664174375,9.166596805,9.236460725,9.951688491,8.926294157,8.72471513,8.774747879,8.622729632,8.870152336,8.840525228,8.802641571,8.628884376,8.750511006,8.586801401,8.343486441
"CATMA3c57167",10.17956402,10.04798384,9.88142796,10.05115988,9.822629084,9.938932532,10.16429808,10.39047006,9.977593403,9.881613323,10.08248708,10.01604179,9.674997394,9.650087417,9.629695332,9.559671545,9.65731744,9.770807723,9.638703663,9.678956874,9.59926726,9.869334816,9.649987021,9.546563713
"CATMA1a47270",10.15236558,9.88729746,10.02618673,10.95480965,10.47059429,9.54981361,10.36715054,10.50447426,10.1417765,10.80713326,10.02464225,9.802214095,8.712356955,8.592792086,9.16989312,9.612324982,9.02842905,9.358713716,8.868359197,9.270525608,9.04507367,9.350943721,9.261975508,9.200579078
"CATMA5a06070",8.801040142,9.064818106,9.194890653,9.333980208,9.24174081,9.6910321,9.807788935,9.679741839,9.377847147,9.411673617,9.150839156,9.386139802,8.826400307,8.583696936,8.314805056,7.776235172,8.206744528,8.434664514,8.472231729,8.528259892,8.187209995,7.523461666,7.921995985,8.913482905
"CATMA2a36760",9.997981244,9.654539887,9.317610551,9.554791432,9.499608347,10.10855896,9.978151175,10.37861552,11.2916808,11.03862505,12.04852657,11.89716726,12.99725198,12.85996307,12.11841611,11.61256165,11.61259802,11.18612699,12.02085916,11.378175,11.26528285,10.97446016,11.85812435,11.27143597
"CATMA4a18890",10.62734962,10.58801604,10.5846421,10.56488354,10.75627664,11.31438179,11.42692128,11.6020972,11.51431136,10.70344894,9.991866935,9.65633879,9.48531368,9.278031016,9.703125418,9.168259388,9.210655319,9.773040849,9.749563302,9.449115505,9.149594658,9.446650552,9.218515553,8.83297904
"CATMA5c64767",8.04591674,7.412600093,8.245169581,8.00951496,8.181294556,8.16224506,8.328036021,7.87346093,8.443390308,7.832470427,8.921309757,8.161567845,9.248057309,9.009670549,9.10714645,9.165039256,9.04596986,8.885434142,9.062648859,8.924197428,8.742262833,8.51223102,8.644781032,8.465224806
"CATMA5a52795",7.398262026,7.543897968,8.211295645,8.025066322,7.943495627,7.851036595,8.125474766,7.748352795,7.729724982,7.956373996,8.392601951,8.335263195,8.79146591,8.781806391,8.733701177,8.761067167,8.694974197,8.279668386,8.325145539,8.595456925,8.299387208,8.142882371,8.40634734,8.514161518
"CATMA1a18220",11.91588666,10.81167269,10.20720622,9.857168975,10.03585523,9.60932342,10.01976379,10.3967915,10.92039591,10.80983792,11.70275816,11.70017969,13.28180712,13.04634661,12.53207974,12.10207391,12.12854637,11.98059831,11.91497402,11.64473119,11.42515572,11.48292435,11.99032167,11.47928831
"CATMA1a17615",8.219016846,8.66374761,8.354265694,8.312404169,8.393873333,8.788856853,8.678804607,8.503986786,9.787833792,9.172997626,10.61923287,10.78204644,11.7028125,10.85157717,10.44738053,10.03877607,9.840213973,10.16323755,10.0584039,10.01399498,9.666227638,9.477599391,9.89503312,9.673772212
"CATMA3a01140",9.190650619,9.152974083,8.951935764,8.937529727,9.041483119,9.18132555,9.002635435,8.916783209,9.385600605,8.790368119,8.994744975,9.173276054,9.53482194,9.471257445,9.570292879,9.68561083,9.719175793,9.560616906,9.343345887,9.758330389,9.690169542,8.942470244,9.300258244,9.363750277
"CATMA4a35150",10.7653262,10.86224338,10.49038078,10.58640998,10.41142915,10.40764341,10.38661385,10.4661071,10.4086074,10.24872719,11.29216545,11.49839484,12.25307115,12.06729705,11.61076561,11.16490146,11.45819195,11.1136072,11.38828903,11.39667145,11.48091506,11.1848127,11.49389136,11.1108383
"CATMA5a62305",9.057370539,9.587187229,9.347039837,9.243734105,8.822108183,9.147028778,9.026727419,9.219442749,8.884686887,8.351553812,9.157823914,9.311178568,8.88665003,8.719643837,7.601788581,8.027864409,8.212822078,8.34613812,8.815817982,7.592717215,7.969318374,8.356446466,8.057905162,8.487632309
"CATMA4a01565",12.48959346,12.54402468,12.60891946,12.76826171,12.84826941,12.35176337,12.51237181,12.28131553,12.51737528,12.84226023,12.97206799,12.7380271,13.03202744,13.60339471,12.87703469,12.92530144,12.87932429,12.63929848,12.3714175,12.2556796,12.11285416,12.34850143,12.28703556,12.3757184
"CATMA5a49070",13.61570721,13.75235884,13.41941324,13.05499124,12.97837457,13.85480721,14.12410516,14.28021393,14.01623224,12.450115,12.73606942,12.58184403,12.04557971,12.22213799,12.58347726,12.35472568,12.28428987,12.82580694,12.44376173,12.60115405,12.14745494,12.46232198,11.90635859,12.1965252
"CATMA5c64139",8.140735884,8.187303352,7.779388542,7.828960525,7.772603631,8.177722896,8.451054547,8.09187196,8.819188673,8.425438792,8.225135213,8.312394576,9.372033412,9.089174493,9.106573434,8.898440726,8.532817185,8.043239146,8.406060744,8.381359576,8.25138167,8.370129592,8.471483033,8.210445422
"CATMA1c72251",10.88067402,9.795734982,9.188140188,9.022899331,8.974118556,9.14074445,9.329026933,9.773864659,10.16170552,10.46879001,11.69321892,11.18389291,12.73422238,12.1220834,11.71912887,10.66767066,10.87642492,10.3766756,10.02910594,9.778649323,9.660643441,9.687864402,9.910733541,9.317698054
"CATMA5a40970",10.07283502,9.868343629,10.12344958,10.06569044,9.935313772,10.44168566,10.14402827,10.28907983,10.49650176,10.28461103,10.53397044,10.32117491,10.8559092,10.88364205,10.78413473,10.12359105,10.57564692,10.64722491,10.1856449,10.44594502,10.37630107,10.01896392,10.44299358,10.27399465
"CATMA1a70060",12.0867653,11.29187656,10.62324534,10.51571172,10.17951574,10.25281737,10.40682105,10.83696143,11.24381516,11.70510789,12.60312064,12.19483389,13.40218487,13.10798547,12.68766662,11.61578507,11.96540345,11.49929652,11.52468637,11.01120683,10.79930781,10.74914919,11.08627068,10.69670173
"CATMA1a54343",8.314152133,7.974683034,9.046710554,10.39655538,10.70524628,9.486905654,9.305030014,9.652408004,8.696048003,9.026973771,7.986933517,7.279916907,6.501485743,7.167028124,7.458469855,8.455173183,8.362018562,7.886500212,8.157396993,7.680723866,7.149243916,8.333367102,7.66386805,7.342791466
"CATMA2a43430",8.800852456,8.391759442,8.551646331,8.270438484,8.442737364,8.384352797,8.588754708,8.416844782,8.273525524,9.110803234,8.190777097,8.633081028,8.327144425,7.876484875,7.831511858,7.956362746,7.671076894,8.290285545,8.049324554,8.099999803,7.964694486,8.279420113,7.822348208,6.694911456
"CATMA3a44060",8.085245751,7.855499235,8.073269889,8.035382035,8.033975383,8.023379991,8.264666418,7.708878058,8.312982159,8.298037637,8.334884062,7.911854867,8.25817755,8.487780393,8.459393059,8.546584527,8.133089145,8.238026973,8.213432574,8.283585342,8.404979609,8.136307265,8.392753846,8.397016805
"CATMA1a16410",6.414910539,5.405915779,5.538533526,6.369623007,5.722485748,6.348328301,5.424188772,6.156374873,6.070669747,6.54054709,6.514586266,7.070185879,7.631023271,7.647451136,7.225457733,7.176693501,5.869101132,6.177538746,6.030737073,5.589587868,6.519522201,6.79329906,6.709235631,6.469016832
"CATMA1a06705",11.93316048,12.13681879,11.82990469,12.04505063,11.50660754,11.86736866,11.75408379,11.39650995,11.06190715,11.44199724,11.75538678,11.62893478,11.31038518,11.7841029,11.67413713,12.17438074,12.10884843,11.88465052,12.2354511,12.15878906,11.64659082,11.50528788,11.74647693,11.98984312
"CATMA5c65068",8.074031369,8.400290939,7.781072932,7.150504746,7.447730211,7.065978676,7.12253899,7.249365358,7.801159423,8.188056831,7.862556494,7.700989491,7.630321422,7.101911281,7.229489134,6.789538973,7.076506858,7.178072332,7.622103095,7.359897695,7.036026301,7.666328796,7.068527803,7.198984925
"CATMA1a08395",11.44006468,11.28355844,11.338045,11.23705437,11.03059768,11.1125062,11.39882421,11.62215976,11.48877051,11.68397031,11.65145377,11.44209452,10.55456333,10.85750072,11.21663786,11.59632988,11.56858638,11.67609471,11.72511708,11.34935329,10.99851084,11.32778138,10.81078938,10.76936751
"CATMA4a24645",7.786180014,7.732252493,8.693830663,10.55387877,11.58117191,10.29037929,11.24804391,10.53581491,10.37931584,11.22551609,10.15883193,8.336250999,8.71741866,8.901264006,8.518618048,10.08663228,9.704067643,10.1546381,9.817903984,9.053981731,9.101001504,9.623381154,9.141488361,9.222290963
"CATMA3a44230",8.940853735,8.697609807,9.190155978,11.49984625,12.19033675,10.88190872,11.26082834,11.54395996,10.35292388,11.91150871,10.37185909,8.70945776,8.401205983,8.873160717,8.633631926,10.27909291,10.59763613,10.73247786,10.25657974,9.013703668,9.564620101,10.6172231,10.12701388,9.674831813
"CATMA1c71262",6.791002213,7.493798143,7.498777376,7.324623093,7.04592102,7.239031375,7.142476929,6.896385718,7.140010454,7.044004439,6.798039435,7.195419048,7.401839489,7.570111196,7.281104557,7.342259434,7.523105036,6.95413728,6.286651322,7.007518935,7.532096322,7.256778644,7.892437414,7.843215388
